Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Newtonsoft.Json.JsonTextReader.ParseReadString",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.JsonTextReader.ParseValue",0,0.00,17,3.37,0,0,0,0,
"Newtonsoft.Json.JsonTextReader.Read",0,0.00,2,0.40,0,0,0,0,
"Newtonsoft.Json.JsonTextReader.ReadData",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.JsonTextReader.ReadNumberIntoBuffer",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.JsonTextReader.ReadStringIntoBuffer",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.JsonTextWriter..ctor",0,0.00,7,1.39,0,0,0,0,
"Newtonsoft.Json.JsonTextWriter.WriteEscapedString",0,0.00,2,0.40,0,0,0,0,
"Newtonsoft.Json.JsonTextWriter.WritePropertyName",0,0.00,3,0.59,0,0,0,0,
"Newtonsoft.Json.JsonTextWriter.WriteStartObject",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.JsonWriter..ctor",0,0.00,6,1.19,0,0,0,0,
"Newtonsoft.Json.JsonWriter.AutoComplete",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.JsonWriter.AutoCompleteAll",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.JsonWriter.AutoCompleteClose",0,0.00,2,0.40,0,0,0,0,
"Newtonsoft.Json.JsonWriter.WriteValue",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Linq.Extensions+<Convert>d__14`2[System.__Canon,System.__Canon].MoveNext",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Linq.JArray.GetEnumerator",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Linq.JContainer..ctor",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Linq.JContainer.EnsureParentToken",0,0.00,3,0.59,0,0,0,0,
"Newtonsoft.Json.Linq.JContainer.InsertItem",0,0.00,7,1.39,0,0,0,0,
"Newtonsoft.Json.Linq.JContainer.ReadContentFrom",0,0.00,29,5.74,0,0,0,0,
"Newtonsoft.Json.Linq.JContainer.ReadTokenFrom",0,0.00,38,7.52,0,0,0,0,
"Newtonsoft.Json.Linq.JContainer.RemoveItem",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Linq.JObject.CloneToken",0,0.00,2,0.40,0,0,0,0,
"Newtonsoft.Json.Linq.JObject.Load",0,0.00,51,10.10,0,0,0,0,
"Newtonsoft.Json.Linq.JObject.Parse",0,0.00,57,11.29,0,0,0,0,
"Newtonsoft.Json.Linq.JObject.WriteTo",0,0.00,9,1.78,0,0,0,0,
"Newtonsoft.Json.Linq.JProperty..ctor",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Linq.JProperty.CloneToken",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Linq.JProperty.SetItem",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Linq.JProperty.WriteTo",0,0.00,3,0.59,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.JPath..ctor",0,0.00,3,0.59,0,0,0,0,
"Newtonsoft.Json.Linq.JsonPath.PathFilter.GetNextScanValue",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Linq.JToken.FromObjectInternal",0,0.00,76,15.05,0,0,0,0,
"Newtonsoft.Json.Linq.JToken.Remove",0,0.00,2,0.40,0,0,0,0,
"Newtonsoft.Json.Linq.JToken.SelectToken",0,0.00,7,1.39,0,0,0,0,
"Newtonsoft.Json.Linq.JToken.ToString",0,0.00,17,3.37,0,0,0,0,
"Newtonsoft.Json.Linq.JTokenWriter.WriteValue",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Linq.JValue.WriteTo",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Serialization.DefaultContractResolver..cctor",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Serialization.DefaultContractResolver.CreateContract",0,0.00,53,10.50,0,0,0,0,
"Newtonsoft.Json.Serialization.DefaultContractResolver.CreatePrimitiveContract",0,0.00,45,8.91,0,0,0,0,
"Newtonsoft.Json.Serialization.DefaultContractResolver.GetCallbackMethodsForType",0,0.00,4,0.79,0,0,0,0,
"Newtonsoft.Json.Serialization.DefaultContractResolver.InitializeContract",0,0.00,37,7.33,0,0,0,0,
"Newtonsoft.Json.Serialization.DefaultContractResolver.IsJsonPrimitiveType",0,0.00,8,1.58,0,0,0,0,
"Newtonsoft.Json.Serialization.DefaultContractResolver.IsValidCallback",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Serialization.DefaultContractResolver.ResolveCallbackMethods",0,0.00,6,1.19,0,0,0,0,
"Newtonsoft.Json.Serialization.DefaultContractResolver.ResolveContract",0,0.00,57,11.29,0,0,0,0,
"Newtonsoft.Json.Serialization.JsonContract..ctor",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Serialization.JsonPrimitiveContract..ctor",0,0.00,7,1.39,0,0,0,0,
"Newtonsoft.Json.Serialization.JsonSerializerInternalWriter.Serialize",0,0.00,65,12.87,0,0,0,0,
"Newtonsoft.Json.Serialization.JsonTypeReflector.GetAssociateMetadataTypeFromAttribute",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Serialization.JsonTypeReflector.GetAttribute",0,0.00,3,0.59,0,0,0,0,
"Newtonsoft.Json.Utilities.ConvertUtils.GetTypeCode",0,0.00,8,1.58,0,0,0,0,
"Newtonsoft.Json.Utilities.DateTimeUtils.TryParseDateTime",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Utilities.ExpressionReflectionDelegateFactory.CreateDefaultConstructor",0,0.00,15,2.97,0,0,0,0,
"Newtonsoft.Json.Utilities.JavaScriptUtils.GetCharEscapeFlags",0,0.00,7,1.39,0,0,0,0,
"Newtonsoft.Json.Utilities.ReflectionUtils..cctor",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Utilities.ReflectionUtils.GetAttribute",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Utilities.ReflectionUtils.GetDefaultConstructor",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Utilities.ReflectionUtils.IsNullable",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Utilities.ThreadSafeStore`2[System.__Canon,System.__Canon].AddValue",0,0.00,5,0.99,0,0,0,0,
"Newtonsoft.Json.Utilities.TypeExtensions.GetFields",0,0.00,1,0.20,0,0,0,0,
"Newtonsoft.Json.Utilities.TypeExtensions.GetFieldsRecursive",0,0.00,1,0.20,0,0,0,0,
