Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"Newtonsoft.Json.JsonTextWriter.WriteEscapedString",2,0,0.40,0.00,
"Newtonsoft.Json.JsonTextWriter.WritePropertyName",3,0,0.59,0.00,
"Newtonsoft.Json.JsonTextWriter.WriteStartObject",1,0,0.20,0.00,
"Newtonsoft.Json.JsonWriter..cctor",6,0,1.19,0.00,
"Newtonsoft.Json.JsonWriter..ctor",6,0,1.19,0.00,
"Newtonsoft.Json.JsonWriter.AutoComplete",1,0,0.20,0.00,
"Newtonsoft.Json.JsonWriter.AutoCompleteAll",1,0,0.20,0.00,
"Newtonsoft.Json.JsonWriter.AutoCompleteClose",2,0,0.40,0.00,
"Newtonsoft.Json.JsonWriter.BuildStateArray",5,0,0.99,0.00,
"Newtonsoft.Json.JsonWriter.WriteValue",1,0,0.20,0.00,
"Newtonsoft.Json.Linq.Extensions+<Convert>d__14`2[System.__Canon,System.__Canon].MoveNext",1,0,0.20,0.00,
"Newtonsoft.Json.Linq.JArray.GetEnumerator",1,0,0.20,0.00,
"Newtonsoft.Json.Linq.JContainer..ctor",1,0,0.20,0.00,
"Newtonsoft.Json.Linq.JContainer.EnsureParentToken",3,0,0.59,0.00,
"Newtonsoft.Json.Linq.JContainer.InsertItem",7,0,1.39,0.00,
"Newtonsoft.Json.Linq.JContainer.ReadContentFrom",29,0,5.74,0.00,
"Newtonsoft.Json.Linq.JContainer.ReadTokenFrom",38,0,7.52,0.00,
"Newtonsoft.Json.Linq.JContainer.RemoveItem",1,0,0.20,0.00,
"Newtonsoft.Json.Linq.JObject.CloneToken",2,0,0.40,0.00,
"Newtonsoft.Json.Linq.JObject.Load",51,0,10.10,0.00,
"Newtonsoft.Json.Linq.JObject.Parse",57,0,11.29,0.00,
"Newtonsoft.Json.Linq.JObject.WriteTo",9,0,1.78,0.00,
"Newtonsoft.Json.Linq.JProperty..ctor",1,0,0.20,0.00,
"Newtonsoft.Json.Linq.JProperty.CloneToken",1,0,0.20,0.00,
"Newtonsoft.Json.Linq.JProperty.SetItem",1,0,0.20,0.00,
"Newtonsoft.Json.Linq.JProperty.WriteTo",3,0,0.59,0.00,
"Newtonsoft.Json.Linq.JsonPath.JPath..ctor",3,0,0.59,0.00,
"Newtonsoft.Json.Linq.JsonPath.PathFilter.GetNextScanValue",1,0,0.20,0.00,
"Newtonsoft.Json.Linq.JToken.FromObjectInternal",76,0,15.05,0.00,
"Newtonsoft.Json.Linq.JToken.Remove",2,0,0.40,0.00,
"Newtonsoft.Json.Linq.JToken.SelectToken",7,0,1.39,0.00,
"Newtonsoft.Json.Linq.JToken.ToString",17,0,3.37,0.00,
"Newtonsoft.Json.Linq.JTokenWriter.WriteValue",1,0,0.20,0.00,
"Newtonsoft.Json.Linq.JValue.WriteTo",1,0,0.20,0.00,
"Newtonsoft.Json.Serialization.CachedAttributeGetter`1[System.__Canon]..cctor",1,0,0.20,0.00,
"Newtonsoft.Json.Serialization.DefaultContractResolver..cctor",1,0,0.20,0.00,
"Newtonsoft.Json.Serialization.DefaultContractResolver..ctor",1,0,0.20,0.00,
"Newtonsoft.Json.Serialization.DefaultContractResolver.CreateContract",53,0,10.50,0.00,
"Newtonsoft.Json.Serialization.DefaultContractResolver.CreatePrimitiveContract",45,0,8.91,0.00,
"Newtonsoft.Json.Serialization.DefaultContractResolver.GetCallbackMethodsForType",4,0,0.79,0.00,
"Newtonsoft.Json.Serialization.DefaultContractResolver.InitializeContract",37,0,7.33,0.00,
"Newtonsoft.Json.Serialization.DefaultContractResolver.IsJsonPrimitiveType",8,0,1.58,0.00,
